Age,Embarked,Fare,Parch,Pclass,Sex,SibSp,Survived
22,S,7.25,0,3,male,1,0
38,C,71.2833,0,1,female,1,1
26,S,7.925,0,3,female,0,1
35,S,53.1,0,1,female,1,1
35,S,8.05,0,3,male,0,0
30,Q,8.4583,0,3,male,0,0
54,S,51.8625,0,1,male,0,0
2,S,21.075,1,3,male,3,0
27,S,11.1333,2,3,female,0,1
14,C,30.0708,0,2,female,1,1
4,S,16.7,1,3,female,1,1
58,S,26.55,0,1,female,0,1
20,S,8.05,0,3,male,0,0
39,S,31.275,5,3,male,1,0
14,S,7.8542,0,3,female,0,0
55,S,16,0,2,female,0,1
2,Q,29.125,1,3,male,4,0
30,S,13,0,2,male,0,1
31,S,18,0,3,female,1,0
35.5,C,7.225,0,3,female,0,1
35,S,26,0,2,male,0,0
34,S,13,0,2,male,0,1
15,Q,8.0292,0,3,female,0,1
28,S,35.5,0,1,male,0,1
8,S,21.075,1,3,female,3,0
38,S,31.3875,5,3,female,1,1
30,C,7.225,0,3,male,0,0
19,S,263,2,1,male,3,0
22,Q,7.8792,0,3,female,0,1
30,S,7.8958,0,3,male,0,0
40,C,27.7208,0,1,male,0,0
35.5,C,146.5208,0,1,female,1,1
22,Q,7.75,0,3,female,0,1
66,S,10.5,0,2,male,0,0
28,C,82.1708,0,1,male,1,0
42,S,52,0,1,male,1,0
30,C,7.2292,0,3,male,0,1
21,S,8.05,0,3,male,0,0
18,S,18,0,3,female,2,0
14,C,11.2417,0,3,female,1,1
40,S,9.475,0,3,female,1,0
27,S,21,0,2,female,1,0
30,C,7.8958,0,3,male,0,0
3,C,41.5792,2,2,female,1,1
19,Q,7.8792,0,3,female,0,1
30,S,8.05,0,3,male,0,0
30,Q,15.5,0,3,male,1,0
22,Q,7.75,0,3,female,0,1
30,C,21.6792,0,3,male,2,0
18,S,17.8,0,3,female,1,0
7,S,39.6875,1,3,male,4,0
21,S,7.8,0,3,male,0,0
49,C,76.7292,0,1,female,1,1
29,S,26,0,2,female,1,1
65,C,61.9792,1,1,male,0,0
30,S,35.5,0,1,male,0,1
21,S,10.5,0,2,female,0,1
28.5,C,7.2292,0,3,male,0,0
5,S,27.75,2,2,female,1,1
11,S,46.9,2,3,male,5,0
22,C,7.2292,0,3,male,0,0
38,S,80,0,1,female,0,1
45,S,83.475,0,1,male,1,0
4,S,27.9,2,3,male,3,0
30,C,27.7208,0,1,male,0,0
4,C,15.2458,1,3,male,1,1
29,S,10.5,0,2,female,0,1
19,S,8.1583,0,3,male,0,0
17,S,7.925,2,3,female,4,1
26,S,8.6625,0,3,male,2,0
32,S,10.5,0,2,male,0,0
16,S,46.9,2,3,female,5,0
21,S,73.5,0,2,male,0,0
26,C,14.4542,0,3,male,1,0
32,S,56.4958,0,3,male,0,1
25,S,7.65,0,3,male,0,0
30,S,7.8958,0,3,male,0,0
30,S,8.05,0,3,male,0,0
0.83,S,29,2,2,male,0,1
30,S,12.475,0,3,female,0,1
22,S,9,0,3,male,0,0
29,S,9.5,0,3,male,0,1
22,Q,7.7875,0,3,female,0,1
28,S,47.1,0,1,male,0,0
17,S,10.5,0,2,female,0,1
33,S,15.85,0,3,female,3,1
16,S,34.375,3,3,male,1,0
30,S,8.05,0,3,male,0,0
23,S,263,2,1,female,3,1
24,S,8.05,0,3,male,0,0
29,S,8.05,0,3,male,0,0
20,S,7.8542,0,3,male,0,0
46,S,61.175,0,1,male,1,0
26,S,20.575,2,3,male,1,0
59,S,7.25,0,3,male,0,0
30,S,8.05,0,3,male,0,0
71,C,34.6542,0,1,male,0,0
23,C,63.3583,1,1,male,0,1
34,S,23,1,2,female,0,1
34,S,26,0,2,male,1,0
28,S,7.8958,0,3,female,0,0
30,S,7.8958,0,3,male,0,0
21,S,77.2875,1,1,male,0,0
33,S,8.6542,0,3,male,0,0
37,S,7.925,0,3,male,2,0
28,S,7.8958,0,3,male,0,0
21,S,7.65,0,3,female,0,1
30,S,7.775,0,3,male,0,1
38,S,7.8958,0,3,male,0,0
22,Q,24.15,0,3,female,1,1
47,S,52,0,1,male,0,0
14.5,C,14.4542,0,3,female,1,0
22,S,8.05,0,3,male,0,0
20,S,9.825,0,3,female,1,0
17,C,14.4583,0,3,female,0,0
21,S,7.925,0,3,male,0,0
70.5,Q,7.75,0,3,male,0,0
29,S,21,0,2,male,1,0
24,C,247.5208,1,1,male,0,0
2,S,31.275,2,3,female,4,0
21,S,73.5,0,2,male,2,0
30,S,8.05,0,3,male,0,0
32.5,C,30.0708,0,2,male,1,0
32.5,S,13,0,2,female,0,1
54,S,77.2875,1,1,male,0,0
12,C,11.2417,0,3,male,1,1
30,Q,7.75,0,3,male,0,0
24,S,7.1417,0,3,male,0,1
22,C,22.3583,1,3,female,1,1
45,S,6.975,0,3,male,0,0
33,C,7.8958,0,3,male,0,0
20,S,7.05,0,3,male,0,0
47,S,14.5,0,3,female,1,0
29,S,26,0,2,female,1,1
25,S,13,0,2,male,0,0
23,C,15.0458,0,2,male,0,0
19,S,26.2833,2,1,female,0,1
37,S,53.1,0,1,male,1,0
16,S,9.2167,0,3,male,0,0
24,C,79.2,0,1,male,0,0
35.5,C,15.2458,2,3,female,0,0
22,S,7.75,0,3,female,0,1
24,S,15.85,0,3,female,1,1
19,Q,6.75,0,3,male,0,0
18,S,11.5,0,2,male,0,0
19,S,36.75,1,2,male,1,0
27,S,7.7958,0,3,male,0,1
9,S,34.375,2,3,female,2,0
36.5,S,26,2,2,male,0,0
42,S,13,0,2,male,0,0
51,S,12.525,0,2,male,0,0
22,S,66.6,0,1,female,1,1
55.5,S,8.05,0,3,male,0,0
40.5,S,14.5,2,3,male,0,0
30,S,7.3125,0,3,male,0,0
51,C,61.3792,1,1,male,0,0
16,Q,7.7333,0,3,female,0,1
30,S,8.05,0,3,male,0,0
30,S,8.6625,0,3,male,0,0
4,S,69.55,2,3,male,8,0
44,S,16.1,1,3,male,0,0
40,S,15.75,0,2,female,0,1
26,S,7.775,0,3,male,0,0
17,S,8.6625,0,3,male,0,0
1,S,39.6875,1,3,male,4,0
9,S,20.525,2,3,male,0,1
35.5,S,55,1,1,female,0,1
45,S,27.9,4,3,female,1,0
30,S,25.925,0,1,male,0,0
28,S,56.4958,0,3,male,0,0
61,S,33.5,0,1,male,0,0
4,Q,29.125,1,3,male,4,0
1,S,11.1333,1,3,female,1,1
21,S,7.925,0,3,male,0,0
56,C,30.6958,0,1,male,0,0
18,S,7.8542,1,3,male,1,0
4,S,25.4667,1,3,male,3,0
50,C,28.7125,0,1,female,0,0
30,S,13,0,2,male,0,0
36,S,0,0,3,male,0,0
22,S,69.55,2,3,female,8,0
30,C,15.05,0,2,male,0,0
9,S,31.3875,2,3,male,4,0
1,S,39,1,2,male,2,1
4,S,22.025,2,3,female,0,1
30,S,50,0,1,male,0,0
35.5,Q,15.5,0,3,female,1,1
45,S,26.55,0,1,male,0,1
40,Q,15.5,1,3,male,1,0
36,S,7.8958,0,3,male,0,0
32,S,13,0,2,female,0,1
19,S,13,0,2,male,0,0
19,S,7.8542,0,3,female,1,1
3,S,26,1,2,male,1,1
44,C,27.7208,0,1,female,0,1
58,C,146.5208,0,1,female,0,1
30,Q,7.75,0,3,male,0,0
42,S,8.4042,1,3,male,0,0
22,Q,7.75,0,3,female,0,1
24,S,13,0,2,female,0,0
28,S,9.5,0,3,male,0,0
30,S,69.55,2,3,male,8,0
34,S,6.4958,0,3,male,0,0
45.5,C,7.225,0,3,male,0,0
18,S,8.05,0,3,male,0,1
2,S,10.4625,1,3,female,0,0
32,S,15.85,0,3,male,1,0
26,C,18.7875,0,3,male,0,1
16,Q,7.75,0,3,female,0,1
40,C,31,0,1,male,0,1
24,S,7.05,0,3,male,0,0
35,S,21,0,2,female,0,1
22,S,7.25,0,3,male,0,0
30,S,13,0,2,male,0,0
30,Q,7.75,0,3,male,1,0
31,C,113.275,0,1,female,1,1
27,S,7.925,0,3,female,0,1
42,S,27,0,2,male,1,0
32,C,76.2917,0,1,female,0,1
30,S,10.5,0,2,male,0,0
16,S,8.05,0,3,male,0,1
27,S,13,0,2,male,0,0
51,S,8.05,0,3,male,0,0
30,S,7.8958,0,3,male,0,0
38,S,90,0,1,male,1,1
22,S,9.35,0,3,male,0,0
19,S,10.5,0,2,male,0,1
20.5,S,7.25,0,3,male,0,0
18,S,13,0,2,male,0,0
22,S,25.4667,1,3,female,3,0
35,S,83.475,0,1,female,1,1
29,S,7.775,0,3,male,0,0
59,S,13.5,0,2,male,0,0
5,S,31.3875,2,3,female,4,1
24,S,10.5,0,2,male,0,0
22,S,7.55,0,3,female,0,0
44,S,26,0,2,male,1,0
8,S,26.25,2,2,female,0,1
19,S,10.5,0,2,male,0,0
33,S,12.275,0,2,male,0,0
22,C,14.4542,0,3,female,1,0
22,Q,15.5,0,3,female,1,1
29,S,10.5,0,2,male,0,0
22,S,7.125,0,3,male,0,0
30,C,7.225,0,3,male,0,0
44,Q,90,0,1,male,2,0
25,S,7.775,0,3,female,0,0
24,S,14.5,2,2,female,0,1
37,S,52.5542,1,1,male,1,1
54,S,26,0,2,male,1,0
30,S,7.25,0,3,male,0,0
29,S,10.4625,1,3,female,1,0
62,S,26.55,0,1,male,0,0
30,S,16.1,0,3,male,1,0
41,S,20.2125,2,3,female,0,0
29,C,15.2458,2,3,female,0,1
35.5,C,79.2,0,1,female,0,1
30,S,86.5,0,1,female,0,1
35,C,512.3292,0,1,female,0,1
50,S,26,1,2,female,0,1
30,Q,7.75,0,3,male,0,0
3,S,31.3875,2,3,male,4,1
52,S,79.65,1,1,male,1,0
40,S,0,0,1,male,0,0
22,Q,7.75,0,3,female,0,0
36,S,10.5,0,2,male,0,0
16,S,39.6875,1,3,male,4,0
25,S,7.775,0,3,male,1,1
58,S,153.4625,1,1,female,0,1
35,S,135.6333,0,1,female,0,1
30,S,31,0,1,male,0,0
25,S,0,0,3,male,0,1
41,S,19.5,1,2,female,0,1
37,C,29.7,1,1,male,0,0
22,Q,7.75,0,3,female,0,1
63,S,77.9583,0,1,female,1,1
45,S,7.75,0,3,female,0,0
30,S,0,0,2,male,0,0
7,Q,29.125,1,3,male,4,0
35,S,20.25,1,3,female,1,1
65,Q,7.75,0,3,male,0,0
28,S,7.8542,0,3,male,0,0
16,S,9.5,0,3,male,0,0
19,S,8.05,0,3,male,0,1
30,S,26,0,1,male,0,0
33,C,8.6625,0,3,male,0,0
30,S,9.5,0,3,male,0,1
22,S,7.8958,0,3,male,0,0
42,S,13,0,2,male,0,1
22,Q,7.75,0,3,female,0,1
26,S,78.85,0,1,female,0,1
19,C,91.0792,0,1,female,1,1
36,C,12.875,0,2,male,0,0
24,S,8.85,0,3,female,0,0
24,S,7.8958,0,3,male,0,0
30,C,27.7208,0,1,male,0,0
23.5,C,7.2292,0,3,male,0,0
2,S,151.55,2,1,female,1,0
30,S,30.5,0,1,male,0,1
50,C,247.5208,1,1,female,0,1
22,Q,7.75,0,3,female,0,1
30,Q,23.25,0,3,male,2,1
19,S,0,0,3,male,0,0
22,Q,12.35,0,2,female,0,1
30,S,8.05,0,3,male,0,0
0.92,S,151.55,2,1,male,1,1
22,C,110.8833,0,1,female,0,1
17,C,108.9,0,1,female,1,1
30,C,24,0,2,male,1,0
30,C,56.9292,0,1,female,0,1
24,C,83.1583,0,1,female,0,1
18,C,262.375,2,1,female,2,1
26,S,26,1,2,female,1,0
28,S,7.8958,0,3,male,0,0
43,S,26.25,1,2,male,1,0
26,S,7.8542,0,3,female,0,1
24,S,26,0,2,female,1,1
54,S,14,0,2,male,0,0
31,S,164.8667,2,1,female,0,1
